"","X.3","X.2","X.1","X","songid","song","performer","n","lyrics","sentiment"
"11",11,11,11,11,"Blue ChristmasThe Browns Featuring Jim Edward Brown","Blue Christmas","The Browns Featuring Jim Edward Brown",1,"Have a holly, jolly Christmas; It's the best time of the year I don't know if there'll be snow But have a cup of cheer Have a holly, jolly Christmas; And when you walk down the street Say Hello to friends you know And everyone you meet Oh Ho The mistletoe Hung where you can see; Somebody waits for you; Kiss her once for me Have a holly jolly Christmas And in case you didn't hear Oh by golly Have a holly Jolly Christmas this year",9
"12",12,12,12,12,"Child Of GodBobby Darin","Child Of God","Bobby Darin",1,"If anybody asked you who I am Who I am, who I am If anybody asked you who I am Tell them I'm a child of God Peace on earth and Mary rock at the cradle Rock at the cradle, rock at the cradle Peace on earth and Mary rock at the cradle Christ child born in glory If anybody asked you who I am Who I am, who I am If anybody asked you who I am Tell them I'm a child of God The little cradle rocks tonight in glory Tonight in glory, tonight in glory The little cradle rocks tonight in glory Christ child born in glory If anybody asked you who I am Who I am, who I am If anybody asked you who I am Tell them I'm a child of God Do you believe a-He was born in a stable Born in a stable, born in a stable? Do you believe He was born in a stable? Christ child born in glory Anybody asked you who I am Who I am, who I am If anybody asked you who I am Tell them I'm a child of God Anybody asked you who I am Who I am, who I am If anybody asked you who I am Tell them I'm a child of God Keep on telling them (Tell them I'm a child of God) Keep a telling then (Tell them I'm a child of God) I mean tell them I'm a child of God",7
"13",13,13,13,13,"Christmas Auld Lang SyneBobby Darin","Christmas Auld Lang Syne","Bobby Darin",3,"When mistletoe and tinsel glow Paint a yuletide valentine Back home I go to those I know For a Christmas auld lang syne And as we gather 'round the tree Our voices all combine In sweet accord to thank the Lord For a Christmas auld lang syne When sleigh bells ring and choirs sing And the children's faces shine With each new toy we share their joy With a Christmas auld lang syne We sing His praise this day of days And pray next year this time We'll all be near to share the cheer Of a Christmas auld lang syne ""Merry Christmas everybody and a Happy New Year!"" In sweet accord we thank the Lord For a Christmas auld lang syne",20
"14",14,14,14,14,"Christmas DreamPerry Como","Christmas Dream","Perry Como",2,"Watch me now, here I go, all I need's a little snow Starts me off, sets the theme, helps me dream my Christmas dream Every year I dream it, hoping things will change An end to the crying, the shouting, the dying And I hope you will dream it too It's Christmas, remember? We've got to remember So, light the light, I'm home tonight I need you to warm me, to calm me, to love me To help me to dream my Christmas dream Crazy things, said and done every single day but one Every night should, I believe be the same as Christmas eve Nights should all be silent, days should all slow down An end to the hurry, the noise and the worry And I hope you believe that too It's Christmas, remember? Does no one remember? The whole world needs, a Christmas dream We need it to warm us, to calm us, to love us To help us to dream our Christmas dream The whole world needs, a Christmas dream We need it to warm us, to calm us, to love us We need it to warm us, to calm us, to love us We need it to warm us, to calm us, to love us To help us to dream our Christmas dream",7
"15",15,15,15,15,"Christmas For CowboysJohn Denver","Christmas For Cowboys","John Denver",4,"Tall in the saddle, we spend Christmas Day, driving the cattle over snow sovered-plains All of the good gifts given today, ours is the sky and the wide open range Back in the cities they have different ways, football and eggnog and Christmas Parades I'll take my saddle, I'll take the reins, It's Christmas for cowboys wide-open plains A campfire for warmth as we stop for the night, the stars overhead are Christmas tree lights The wind sings a hymn as we bow down to pray, It's Christmas for cowboys, wide-open plains Tall in the saddle we spend Christmas Day, driving the cattle over snow-covered plains All of the good gifts given today, ours is the sky and the wide open range It's Christmas for cowboys, wide open plains",5
"16",16,16,16,16,"Christmas LightsColdplay","Christmas Lights","Coldplay",3,"Christmas night, another fight Tears, we cried a flood Got all kinds of poison in Of poison in my blood I took my feet, to Oxford Street Tryna right a wrong Just walk away, those windows say But I can't believe she's gone When you're still waiting for the snow to fall Doesn't really feel like Christmas at all Up above candles on air flicker Oh, they flicker and they float But I'm up here holding on To all those chandeliers of hope Like some drunken Elvis singing I go singing out of tune Saying how I always loved you darling And I always will Oh, when you're still waiting for the snow to fall Doesn't really feel like Christmas at all Still waiting for the snow to fall It doesn't really feel like Christmas at all Those Christmas lights Light up the street Down where the sea and city meet May all your troubles soon be gone Oh, Christmas lights, keep shining on Those Christmas lights Light up the street Maybe they'll bring her back to me Then all my troubles will be gone Oh, Christmas lights, keep shining on Oh-oh-oh-oh, oh-oh-oh-oh Oh, Christmas lights Light up the street Light up the fireworks in me May all your troubles soon be gone Those Christmas lights, keep shining on",-4
"17",17,17,17,17,"Deck The HallsSHeDAISY","Deck The Halls","SHeDAISY",3,"(arranged by SHeDAISY and Phil Symonds) Deck the halls ( Deck the halls ) With boughs of holly ( With boughs of holly ) Fa la la la la Tis the season ( We wish you a merry Christmas) Tis the season ( We wish you a merry Christmas ) Deck the halls with boughs of holly Fa la la la la la la Tis the season to be jolly Fa la la la la la la Don we now our gay apparal Fa la la la la la la Troll the ancient yuletide carol Fa la la la la la la la Everybody sing the yuletide carol Fa la la la la la la Fa la la la la la la Very merry Christmas A very merry Christmas See the blazing yule before us Fa la la la la la la Strike the haro and join the chorus Fa la la la la la la la Follow us in merry measure Fa la la la la la la la While a tale of yuletide treasure Fa la la la la la la la La la la la la la la La la la la la la la la Deck the halls With boughs of holly ( We wish you a merry Christmas )",8
"18",18,18,18,18,"Do They Know It's Christmas?Band-Aid","Do They Know It's Christmas?","Band-Aid",6,"It's Christmas time There's no need to be afraid At Christmas time We let in light and we banish shade And in our world of plenty We can spread a smile of joy Throw your arms around the world At Christmas time But say a prayer Pray for the other ones At Christmas time it's hard But when you're having fun There's a world outside your window And it's a world of dread and fear Where the only water flowing Is the bitter sting of tears And the Christmas bells that ring there Are the clanging chimes of doom Well tonight thank God it's them Instead of you And there won't be snow in Africa this Christmas time The greatest gift they'll get this year is life(Oooh) Where nothing ever grows No rain or rivers flow Do they know it's Christmas time at all? Here's to you Raise a glass for everyone Here's to them Underneath that burning sun Do they know it's Christmas time at all? Feed the world Feed the world Feed the world Let them know it's Christmas time again Feed the world Let them know it's Christmas time again",3
"19",19,19,19,19,"Do They Know It's Christmas?Glee Cast","Do They Know It's Christmas?","Glee Cast",1,"It's Christmas time There's no need to be afraid At Christmas time We let in light and we banish shade And in our world of plenty We can spread a smile of joy Throw your arms around the world At Christmas time But say a prayer Pray for the other one Oh, at Christmas time it's hard But when you're having fun (There's a) world outside your window And it's a world of dread and fear Where the only water flowing Is the bitter sting of tears And the Christmas bells that ring Are the clanging chimes of doom Well tonight thank God it's them (Instead of you) And there won't be snow in Africa this Christmas time (This Christmas time, no) The greatest gift they'll get this year is life (Is life) Where nothing ever grows (Nothing ever grows) No rain or rivers flow (Oh, rivers flow, no) Do they know it's {Christmas time at all?} Here's to you (Raise a glass for everyone) Here's to them (Underneath that burning sun) Do they know it's Christmas time at all? (Do they know it's Christmas time at all, yeah) Da-da-da-da-da Da, da-daah Da-da-da-da-da Feed (the world) Let them know it's (Christmas time) again Feed (the world) Let them know it's Christmas time again Feed (the world) Let them know it's (Christmas time) again Feed (the world) Let them know it's Christmas time (Again)",4
"20",20,20,20,20,"Feliz NavidadJose Feliciano","Feliz Navidad","Jose Feliciano",1,"Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas From the bottom of my heart I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas From the bottom of my heart Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas From the bottom of my heart I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas From the bottom of my heart Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas From the bottom of my heart I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas From the bottom of my heart Feliz Navidad, ey, ey Feliz Navidad Feliz Navidad Próspero año y felicidad",4
"21",21,21,21,21,"Grandma Got Run Over By A ReindeerElmo & Patsy","Grandma Got Run Over By A Reindeer","Elmo & Patsy",1,"NA Grandma got run over by a reindeer Walking home from our house Christmas Eve You can say there's no such thing as Santa But as for me and Grandpa, we believe She'd been drinkin' too much eggnog And we'd begged her not to go But she forgot her medication And she staggered out the door into the snow When we found her Christmas mornin' At the scene of the attack She had hoof prints on her forehead And incriminatin' Claus marks on her back Grandma got run over by a reindeer Walking home from our house Christmas Eve You can say there's no such thing as Santa But as for me and Grandpa, we believe (Lord, we believe) Now we're all so proud of Grandpa He's been takin' this so well See him in there watchin' football Drinkin beer and playin' cards with cousin BelleIt's not Christmas without Grandma All the family's dressed in black And we just can't help but wonder: Should we open up her gifts or send them back? Grandma got run over by a reindeer Walking home from our house Christmas Eve You can say there's no such thing as Santa But as for me and Grandpa, we believe (Lord, we believe) Now the goose is on the table And the pudding made of fig And a blue and silver candle That would have just matched the hair in grandma's wig I've warned all my friends and neighbors ""Better watch out for yourselves They should never give a license To a man who drives a sleigh and plays with elves."" Grandma got run over by a reindeer Walking home from our house Christmas Eve You can say there's no such thing as Santa's But as for me and Grandpa, we believe Sing it, Grandpa! Grandma got run over by a reindeer Walking home from our house Christmas Eve (Minding her own business) You can say there's no such thing as Santa (What do you mean there's no Santa?) But as for me and Grandpa, we believe Sing it, Grandpa! Oh As for me and Grandpa, we believe (We believe in Santa Claus)",2
"22",22,22,22,22,"Greatest Time Of YearAly & AJ","Greatest Time Of Year","Aly & AJ",1,"It's the greatest time of year And it's here, help me celebrate it With everybody here Friends so dear, let me simply state it It's our favorite way To spend the holiday, yeah There's a special kind of feeling in the air It only happens at this time of year When everyone is filled with love and cheer That's what matters Pretty paper boxes tied with bows Walking in the sun or in the snow We can feel the excitement Growing, knowing It's the greatest time of year And it's here, help me celebrate it With everybody here Friends so dear, let me simply state it Joy to the world and everyone Lift up your hearts and feel the love It's our favorite way To spend the holiday, yeah We can get all cozy by the fire Turn the music up a little higher I don't think that I could ever tire Of being together Decorate the tree Hang mistletoe and stand by me It's a picture perfect moment captured Memories that we'll have after It's the greatest time of year And it's here, help me celebrate it With everybody here Friends so dear, let me simply state it Joy to the world and everyone Lift up your hearts and feel the love It's our favorite way To spend the holiday, yeah Spend the holidays, hey, yeah, yeah It's the greatest time Greatest time of year Time to celebrate Now it's our favorite time It's the greatest time of year And it's here, help me celebrate it With everybody here Friends so dear, let me simply state it Joy to the world, joy to the world, joy to the world It's the greatest time of year It's the greatest time It's the greatest time of year And it's here, help me celebrate it With everybody here Friends so dear, let me simply state it Joy to the world and everyone Lift up your hearts and feel the love It's our favorite way To spend the holiday, yeah",31
"23",23,23,23,23,"Green Chri$tma$Stan Freberg","Green Chri$Tma$","Stan Freberg",2,"SCROOGE: Bah, humbug, everybody CHORUS: Good morning, Mr. Scrooge! SCROOGE: Well, the meeting will come to order, if you please. Are all the advertising people represented here? CHORUS: Everyone except Amalgamated Cheese! SCROOGE: Well, if they're not here for the Christmas pitch, I can't help them find new ways of tying their product in to Christmas. That's why I'm chairman of this board! Let's hear it for me! CHORUS: Hear, hear! SCROOGE: All right, Abercrombie, what are your people up to? ABERCROMBIE: Ahhh, same thing as every year. Fifty thousand billboards showing Santa Claus pausing to refresh himself with our product SCROOGE: Mmmmm, hmmm, well, I think the public has come to expect that and... ABERCROMBIE: That's right. It's become tradition! SCROOGE: You there, Crass, uhh, I suppose your company's running the usual magazine ads showing cartons of your cigarettes peeking out of the top of Santa's sack? CRASS: Better than that! This year we have him smoking one SCROOGE: Um-hmmm... CRASS: Yes. We've got Santa a little more rugged, too. Both sleeves rolled up and a tattoo on each arm. One of 'em says ""Merry Christmas."" SCROOGE: What does the other one say? CRASS: ""Less tar!"" SCROOGE: Great stuff! CRATCHET: But Mr.Scrooge... SCROOGE: What? Who are you? CRATCHET: Bob Cratchet, sir. I've got a little spice company over in East Orange, New Jersey. Do I have to tie my product in to Christmas? SCROOGE: What do you mean? CRATCHET: Well, I was just going to send cards out showing the three wise men following the Star of Bethlehem... SCROOGE: I get it! And they're bearing your spices. Now that's perfect CRATCHET: No, no... no product in it. I was just going to say, ""Peace on Earth... Good Will Toward Men."" MAN: Well, that's a peculiar slogan! SCROOGE: Old hat, Cratchet! That went out with button shoes! You're a businessman... Christmas is something to take advantage of! SCROOGE: A red and green bandwagon to jump on! SCROOGE: A sentimental shot in the arm for sales! Listen! CHORUS: Deck the halls with advertising Fa la la la la la la la la While you can be enterprising Fa la la la la la la la la On the fourth day of Christmas My true love gave to me Four bars of soap Three cans of peas Two breakfast foods And some toothpaste on a pear tree! On the fifth day of Christmas My true love gave to me... SCROOGE: Five tube-less tires! CHORUS: Fo-ur quarts of gin Three ci-gars Two cig-ar-ettes And some hair tonic on a pear tree! Chest-nuts roasting... ANNOUNCER: Sayyyy, Mother, as sure as there's an X in Christmas, you can be sure those are Tiny Tim Chestnuts roasting. Tin-y Tim Chestnuts are frill-bodied... longer lasting! This visible shell protects the nut! Now with X-K 29 added, for people who can't roast after every meal GIRL TRIO: Tin-ee Tim! Tin-ee Tim! Chest-nuts all the way! ANNOUNCER: Tin-y Tim's roast hot... like a chestnut ought! And... they are (ECHO) mild, mild, mild, mild CHORUS: Deck the halls with advertising Fa la la la la la la la la 'Tis the time for merchandising Fa la la la la la la la la Profit never needs a reason Fa la la la la la la la la Get the money, it's the season Fa la la la la la la la la SCROOGE: Words to live by, Cratchet! CRATCHET: For you, maybe. Can't you just wish someone merry Christmas, for the pure joy of doing it? SCROOGE: Why? What's the percentage in that? Let me show you how to make Christmas work for you! CHORUS: We wish you a merry Christmas We wish you a merry Christmas We wish you a merry Christmas And please buy our beer! SCROOGE: There you go, Cratchet! That's Christmas with a purpose CRATCHET: I know, but wait a minute. Don't you guys make enough profit the other eleven months? Christmas comes but once a year SCROOGE: Humph! Funny thing you should bring that up. That's exactly the point I was about to make. Hit it, boys! SCROOGE: Christmas comes but once a year So you better make hay while the snow is falling That's opportunity calling you! CHORUS: Rub your hands, December's here What a wonderful time to be Glad and merry! SCROOGE: Just so you're mercenary too! CHORUS: Buy an ad and show all the toys Show all the toys up on the shelf SCROOGE: Just make sure that you get a plug You get a plug, In for yourself! SCROOGE AND CHORUS: Christmas comes but once a year So you better cash in While the spirit lingers It's slipping through your fingers Boy! Don't you realize Christmas can be such a Monetary joy! CRATCHET: Well, I guess you fellows will never change SCROOGE: Why should we? Christmas has two s's in it, and they're both dollar signs CRATCHET: Yeah, but they weren't there to begin with SCROOGE: Eh? CRATCHET: The people keep hoping you'll remember. But you never do SCROOGE: Remember what? CRATCHET: Whose birthday we're celebrating SCROOGE: Well,... don't get me wrong. The story of Christmas, in it's simplicity, is a good thing - I'll buy that. It's just that we know a good thing when we see it CRATCHET: But don't you realize Christmas has a significance, a meaning SCROOGE: A sales curve! Wake up, Cratchet, it's later than you think CRATCHET: I know, Mr. Scrooge, I know CHORUS: On the first day of Christmas The advertising's there, with Newspaper ads Billboards too Business Christmas cards And commercials on a pear tree... Jingles here, jingles there Jingles all the way Dashing through the snow In a fifty-foot coup-e O'er the fields we go Selling all the way... Deck the halls with advertising What's the use of compromising Fa la la la la la la la la",51
"24",24,24,24,24,"Happy Xmas (War Is Over)The Fray","Happy Xmas (War Is Over)","The Fray",2,"So this is Christmas And what have you done Another year over And a new one just begun And so this is Christmas I hope you have fun The near and the dear one The old and the young A very Merry Christmas And a happy New Year Let's hope it's a good one Without any fear And so this is christmas For weak and for strong For rich and the poor ones The world is so wrong And so happy Christmas For black and for white For yellow and red ones Let's stop all the fight A very Merry Christmas And a happy New Year Let's hope it's a good one Without any fear And so this is Christmas And what have we done Another year over A new one just begun And so happy Christmas We hope you have fun The near and the dear one The old and the young A very Merry Christmas And a happy New Year Let's hope it's a good one Without any fear War is over, if you want it War is over now",10
"25",25,25,25,25,"Have Yourself A Merry Little ChristmasSam Smith","Have Yourself A Merry Little Christmas","Sam Smith",1,"Have yourself a merry little Christmas Let your heart be light From now on your troubles will be out of sight Have yourself a merry little Christmas Make the Yuletide gay From now on your troubles will be miles away Here we are as in olden days Happy golden days of yore Faithful friends who are dear to us Gather near to us once more Through the years we all will be together If the fates allow Hang a shining star upon the highest bow So have yourself a merry little Christmas Have yourself a merry little Christmas So have yourself a merry little Christmas now",10
"26",26,26,26,26,"I Believe In Father ChristmasGreg Lake","I Believe In Father Christmas","Greg Lake",3,"They said there'll be snow at Christmas They said there'll be peace on Earth But instead it just kept on raining A veil of tears for the Virgin Birth I remember one Christmas Morning A winters light and a distant choir And the peal of a bell and that Christmas Tree smell And their eyes full of tinsel and fire They sold me a dream of Christmas They sold me a Silent Night They told me a fairy story 'Till I believed in the Israelite And I believed in Father Christmas And I looked to the Sky with excited eyes 'Till I woke with a yawn in the first Light of dawn And I saw him and through his disguise I wish you a hopeful Christmas I wish you a brave New Year All anguish pain and sadness Leave your Heart and let your road be clear They said there'll be snow at Christmas They said there'll be peace on Earth Hallelujah, Noel, be it Heaven or hell The Christmas we get we deserve",-1
"27",27,27,27,27,"I'll Be Home For ChristmasKelly Clarkson","I'll Be Home For Christmas","Kelly Clarkson",1,"I'll be home for Christmas You can count on me Please have snow and, and mistletoe And presents under the tree Christmas Eve will find you Where the love light gleams I'll be home for Christmas If only in my dreams Christmas Eve will find me Where the love light gleams I'll be home for Christmas If only in my dreams",5
"28",28,28,28,28,"I'll Be HomeThe Platters","I'll Be Home","The Platters",2,"I'll be home, my darling Please wait for me We'll stroll along together Once more our love will be free At the corner drugstore Each Saturday we would meet I'd walk you home in the moonlight All of these things we'll repeat So darling, as I write this letter Here's hoping you're thinking of me My mind's made up So long until I'll be home to start serving you I'll be home, my darling Please wait for me We'll stroll along together Our love will be free",7
"29",29,29,29,29,"If We Make It Through DecemberMerle Haggard","If We Make It Through December","Merle Haggard",10,"If we make it through December Everything's going to be all right I know It's the coldest time of winter And I shiver when I see the falling snow If we make it through December Got plans to be in a warmer town come summer time Maybe even California If we make it through December we'll be fine Got laid off down at the factory And their timing is not the greatest in the world Heaven knows I been working hard I wanted Christmas to be right for daddy's girl Now I don't mean to hate December It's meant to be the happy time of year And my little girl don't understand Why daddy can't afford no Christmas gift If we make it through December Everything's going to be all right I know It's the coldest time of winter And I shiver when I see the falling snow If we make it through December Got plans to be in a warmer town come summer time Maybe even California If we make it through December we'll be fine",6
"30",30,30,30,30,"It Doesn't Have To Be That WayJim Croce","It Doesn't Have To Be That Way","Jim Croce",5,"Snowy nights and Christmas lights Icy windowpanes Make me wish that we could be Together again And the windy winter avenues Just don't seem the same And the Christmas carols sound like blues But the choir is not to blame But it doesn't have to be that way What we had should never have ended I'll be dropping by today We could easily get it together tonight It's only right Crowded stores, the corner Santa Claus Tinseled afternoons And the sidewalk bands play their songs Slightly out of tune Down the windy winter avenues There walks a lonely man And if I told you who he is Well I think you'd understand But it doesn't have to be that way What we had should never have ended I'll be dropping by today We could easily get it together tonight It's only right No, it doesn't have to be that way What we had should never have ended I'll be dropping by today We could easily get it together tonight It's only right",-2
